PREF_NAME,PREFECTUAL_OFFICE,LATITUDE,LONGITUDE
北海道,札幌市,43.063968,141.347899
青森県,青森市,40.824623,140.740593
岩手県,盛岡市,39.703531,141.152667
宮城県,仙台市,38.268839,140.872103
秋田県,秋田市,39.718600,140.102334
山形県,山形市,38.240437,140.363634
福島県,福島市,37.750299,140.467521
茨城県,水戸市,36.341813,140.446793
栃木県,宇都宮市,36.565725,139.883565
群馬県,前橋市,36.391208,139.060156
埼玉県,さいたま市,35.857428,139.648933
千葉県,千葉市,35.605058,140.123308
東京都,新宿区,35.689521,139.691704
神奈川県,横浜市,35.447753,139.642514
新潟県,新潟市,37.902418,139.023221
富山県,富山市,36.695290,137.211338
石川県,金沢市,36.594682,136.625573
福井県,福井市,36.065219,136.221642
山梨県,甲府市,35.664158,138.568449
長野県,長野市,36.651289,138.181224
岐阜県,岐阜市,35.391227,136.722291
静岡県,静岡市,34.976978,138.383054
愛知県,名古屋市,35.180188,136.906565
三重県,津市,34.730283,136.508591
滋賀県,大津市,35.004531,135.86859
京都府,京都市,35.021004,135.755608
大阪府,大阪市,34.686316,135.519711
兵庫県,神戸市,34.691279,135.183025
奈良県,奈良市,34.685333,135.832744
和歌山県,和歌山市,34.226034,135.167506
鳥取県,鳥取市,35.503869,134.237672
島根県,松江市,35.472297,133.050499
岡山県,岡山市,34.661772,133.934675
広島県,広島市,34.396560,132.459622
山口県,山口市,34.186121,131.470500
徳島県,徳島市,34.065770,134.559303
香川県,高松市,34.340149,134.043444
愛媛県,松山市,33.84166,132.765362
高知県,高知市,33.559705,133.53108
福岡県,福岡市,33.606785,130.418314
佐賀県,佐賀市,33.249367,130.298822
長崎県,長崎市,32.744839,129.873756
熊本県,熊本市,32.789828,130.741667
大分県,大分市,33.238194,131.612591
宮崎県,宮崎市,31.911090,131.423855
鹿児島県,鹿児島市,31.560148,130.557981
沖縄県,那覇市,26.212401,127.680932
